date,price
8/22/2016,2879
8/23/2016,2894.6
8/24/2016,2857.4
8/25/2016,2842.5
8/26/2016,2837.7
8/27/2016,2839.133333
8/28/2016,2840.566667
8/29/2016,2842
8/30/2016,2839.6
8/31/2016,2822.3
9/1/2016,2711
9/2/2016,2599.7
9/3/2016,2693.4
9/4/2016,2699.2
9/5/2016,2705
9/6/2016,2698.2
9/7/2016,2787.45
9/8/2016,2876.7
9/9/2016,2847.2
9/10/2016,2791.1
9/11/2016,2735
9/12/2016,2521.7
9/13/2016,2848.5
9/14/2016,2846.3
9/15/2016,2812.3
9/16/2016,2808.2
9/17/2016,2815.8
9/18/2016,2823.4
9/19/2016,2831
9/20/2016,2824.7
9/21/2016,2852.2
9/22/2016,2880
9/23/2016,2862.5
9/24/2016,2865.133333
9/25/2016,2867.766667
9/26/2016,2870.4
9/27/2016,2837
9/28/2016,2820
9/29/2016,2812.6
9/30/2016,2837.7
10/1/2016,2715.45
10/2/2016,2593.2
10/3/2016,2727.3
10/4/2016,2715.75
10/5/2016,2704.2
10/6/2016,2731.8
10/7/2016,2810.4
10/8/2016,2889
10/9/2016,2788.35
10/10/2016,2687.7
10/11/2016,2728.3
10/12/2016,2715.55
10/13/2016,2702.8
10/14/2016,2678.4
10/15/2016,2682.366667
10/16/2016,2686.333333
10/17/2016,2690.3
10/18/2016,2694.4
10/19/2016,2714.4
10/20/2016,2728.6
10/21/2016,2720.5
10/22/2016,2719.5
10/23/2016,2718.5
10/24/2016,2717.5
10/25/2016,2722.5
10/26/2016,2725.8
10/27/2016,2717.8
10/28/2016,2729.6
10/29/2016,2727.766667
10/30/2016,2725.933333
10/31/2016,2724.1
11/1/2016,2362
11/2/2016,2704.5
11/3/2016,2728.2
11/4/2016,2680.5
11/5/2016,2730.4
11/6/2016,2827.6
11/7/2016,2924.8
11/8/2016,2903.9
11/9/2016,2796.6
11/10/2016,2689.3
11/11/2016,2688
11/12/2016,2674.233333
11/13/2016,2660.466667
11/14/2016,2646.7
11/15/2016,2670.7
11/16/2016,2686.5
11/17/2016,2675.2
11/18/2016,2648.4
11/19/2016,2652.033333
11/20/2016,2655.666667
11/21/2016,2659.3
11/22/2016,2662.2
11/23/2016,2620.9
11/24/2016,2618.2
11/25/2016,2614.6
11/26/2016,2614.033333
11/27/2016,2613.466667
11/28/2016,2612.9
11/29/2016,2614.2
11/30/2016,2592.9
12/1/2016,2326.9
12/2/2016,2723.7
12/3/2016,2697.25
12/4/2016,2670.8
12/5/2016,2732.1
12/6/2016,2813.05
12/7/2016,2894
12/8/2016,2898
12/9/2016,2840.2
12/10/2016,2695.2
12/11/2016,2598.25
12/12/2016,2501.3
12/13/2016,2510.3
12/14/2016,2517
12/15/2016,2456.5
12/16/2016,2463.8
12/17/2016,2467.266667
12/18/2016,2470.733333
12/19/2016,2474.2
12/20/2016,2457.4
12/21/2016,2467.5
12/22/2016,2464.6
12/23/2016,2464.1
12/24/2016,2463.133333
12/25/2016,2462.166667
12/26/2016,2461.2
12/27/2016,2469.3
12/28/2016,2484.3
12/29/2016,2498.1
12/30/2016,2497.8
12/31/2016,2534.033333
1/1/2017,2570.266667
1/2/2017,2606.5
1/3/2017,2658.8
1/4/2017,2635.6
1/5/2017,2612.4
1/6/2017,2614.5
1/7/2017,2614.7
1/8/2017,2614.9
1/9/2017,2705.2
1/10/2017,2675.95
1/11/2017,2646.7
1/12/2017,2642.7
1/13/2017,2604.9
1/14/2017,2613.066667
1/15/2017,2621.233333
1/16/2017,2629.4
1/17/2017,2651.1
1/18/2017,2656.1
1/19/2017,2614.4
1/20/2017,2622.3
1/21/2017,2631.966667
1/22/2017,2641.633333
1/23/2017,2651.3
1/24/2017,2661.1
1/25/2017,2610
1/26/2017,2603.8
1/27/2017,2589
1/28/2017,2591.433333
1/29/2017,2593.866667
1/30/2017,2596.3
1/31/2017,2627.3
2/1/2017,2506.5
2/2/2017,2636.2
2/3/2017,2654.9
2/4/2017,2620.45
2/5/2017,2586
2/6/2017,2629.9
2/7/2017,2611.65
2/8/2017,2593.4
2/9/2017,2637.3
2/10/2017,2681.2
2/11/2017,2651.5
2/12/2017,2640.05
2/13/2017,2628.6
2/14/2017,2642.4
2/15/2017,2627.2
2/16/2017,2673.4
2/17/2017,2675
2/18/2017,2669.133333
2/19/2017,2663.266667
2/20/2017,2657.4
2/21/2017,2653.2
2/22/2017,2659
2/23/2017,2671.4
2/24/2017,2684.1
2/25/2017,2686.666667
2/26/2017,2689.233333
2/27/2017,2691.8
2/28/2017,2687.6
3/1/2017,2525.8
3/2/2017,2618.9
3/3/2017,2629.5
3/4/2017,2603.5
3/5/2017,2588.7
3/6/2017,2573.9
3/7/2017,2559.1
3/8/2017,2593
3/9/2017,2632.45
3/10/2017,2671.9
3/11/2017,2630.2
3/12/2017,2594.1
3/13/2017,2558
3/14/2017,2544.1
3/15/2017,2523
3/16/2017,2581.8
3/17/2017,2582.5
3/18/2017,2583.033333
3/19/2017,2583.566667
3/20/2017,2584.1
3/21/2017,2607.1
3/22/2017,2622.8
3/23/2017,2621.1
3/24/2017,2619.1
3/25/2017,2621.466667
3/26/2017,2623.833333
3/27/2017,2626.2
3/28/2017,2625.1
3/29/2017,2605.4
3/30/2017,2597
3/31/2017,2591.8
4/1/2017,2537.8
4/2/2017,2567.1
4/3/2017,2596.4
4/4/2017,2625.7
4/5/2017,2532.8
4/6/2017,2538.55
4/7/2017,2544.3
4/8/2017,2569.7
4/9/2017,2739.1
4/10/2017,2661.8
4/11/2017,2646.9
4/12/2017,2632
4/13/2017,2658.8
4/14/2017,2658.2
4/15/2017,2657.233333
4/16/2017,2656.266667
4/17/2017,2655.3
4/18/2017,2651.3
4/19/2017,2654.8
4/20/2017,2663.6
4/21/2017,2660.2
4/22/2017,2649.466667
4/23/2017,2638.733333
4/24/2017,2628
4/25/2017,2618
4/26/2017,2597.5
4/27/2017,2599
4/28/2017,2612.4
4/29/2017,2594.733333
4/30/2017,2577.066667
5/1/2017,2559.4
5/2/2017,2573.2
5/3/2017,2587
5/4/2017,2600.8
5/5/2017,2532.4
5/6/2017,2643.5
5/7/2017,2538.3
5/8/2017,2643.3
5/9/2017,2748.3
5/10/2017,2664.8
5/11/2017,2640.75
5/12/2017,2616.7
5/13/2017,2589.366667
5/14/2017,2562.033333
5/15/2017,2534.7
5/16/2017,2537.3
5/17/2017,2588.3
5/18/2017,2618.6
5/19/2017,2615.9
5/20/2017,2613.2
5/21/2017,2610.5
5/22/2017,2607.8
5/23/2017,2625.1
5/24/2017,2604.4
5/25/2017,2604.4
5/26/2017,2620.4
5/27/2017,2620.533333
5/28/2017,2620.666667
5/29/2017,2620.8
5/30/2017,2617.6
5/31/2017,2622
6/1/2017,2570.8
6/2/2017,2646.4
6/3/2017,2633.3
6/4/2017,2596.8
6/5/2017,2636
6/6/2017,2675.2
6/7/2017,2544.9
6/8/2017,2648
6/9/2017,2751.1
6/10/2017,2651.8
6/11/2017,2636
6/12/2017,2618.7
6/13/2017,2607.5
6/14/2017,2623.1
6/15/2017,2601.7
6/16/2017,2597.8
6/17/2017,2593
6/18/2017,2588.2
6/19/2017,2583.4
6/20/2017,2577.7
6/21/2017,2576.1
6/22/2017,2594.1
6/23/2017,2598.9
6/24/2017,2590.8
6/25/2017,2582.7
6/26/2017,2574.6
6/27/2017,2586.1
6/28/2017,2584.1
6/29/2017,2586.4
6/30/2017,2576.8
7/1/2017,2619.05
7/2/2017,2661.3
7/3/2017,2602.1
7/4/2017,2612.4
7/5/2017,2641.55
7/6/2017,2670.7
7/7/2017,2520.6
7/8/2017,2578.2
7/9/2017,2759
7/10/2017,2713.45
7/11/2017,2667.9
7/12/2017,2600.2
7/13/2017,2522.1
7/14/2017,2538.6
7/15/2017,2542
7/16/2017,2545.4
7/17/2017,2548.8
7/18/2017,2562.4
7/19/2017,2562.4
7/20/2017,2559.7
7/21/2017,2580.5
7/22/2017,2585.366667
7/23/2017,2590.233333
7/24/2017,2595.1
7/25/2017,2595
7/26/2017,2577.6
7/27/2017,2595.9
7/28/2017,2603.3
7/29/2017,2606
7/30/2017,2608.7
7/31/2017,2611.4
8/1/2017,2642.35
8/2/2017,2673.3
8/3/2017,2591.6
8/4/2017,2566.3
8/5/2017,2541
8/6/2017,2625.9
8/7/2017,2589.1
8/8/2017,2552.3
8/9/2017,2763.4
8/10/2017,2719.95
8/11/2017,2676.5
8/12/2017,2587.1
8/13/2017,2612.25
8/14/2017,2637.4
8/15/2017,2618.5
8/16/2017,2621.7
8/17/2017,2644.1
8/18/2017,2666
8/19/2017,2665.133333
8/20/2017,2664.266667
8/21/2017,2663.4
8/22/2017,2654.3
8/23/2017,2645.2
8/24/2017,2650
8/25/2017,2640.7
8/26/2017,2637.9
8/27/2017,2635.1
8/28/2017,2632.3
8/29/2017,2706.9
8/30/2017,2688.2
8/31/2017,2694
9/1/2017,2575.8
9/2/2017,2649.8
9/3/2017,2581.6
9/4/2017,2557.9
9/5/2017,2534.2
9/6/2017,2617
9/7/2017,2597.4
9/8/2017,2577.8
9/9/2017,2631.65
9/10/2017,2685.5
9/11/2017,2684.7
9/12/2017,2708.9
9/13/2017,2733.1
9/14/2017,2729.4
9/15/2017,2722.8
9/16/2017,2715.933333
9/17/2017,2709.066667
9/18/2017,2702.2
9/19/2017,2703.3
9/20/2017,2708.5
9/21/2017,2692.2
9/22/2017,2696
9/23/2017,2700.633333
9/24/2017,2705.266667
9/25/2017,2709.9
9/26/2017,2731.7
9/27/2017,2697.2
9/28/2017,2695.2
9/29/2017,2691.4
9/30/2017,2649
10/1/2017,2606.6
10/2/2017,2634.9
10/3/2017,2572.1
10/4/2017,2591
10/5/2017,2533.4
10/6/2017,2520.8
10/7/2017,2508.2
10/8/2017,2641
10/9/2017,2672.2
10/10/2017,2703.4
10/11/2017,2694.5
10/12/2017,2696.96
10/13/2017,2699.42
10/14/2017,2701.88
10/15/2017,2704.34
10/16/2017,2706.8
10/17/2017,2681.8
10/18/2017,2673.8
10/19/2017,2683.9
10/20/2017,2674.9
10/21/2017,2670.266667
10/22/2017,2665.633333
10/23/2017,2661
10/24/2017,2671.6
10/25/2017,2657.2
10/26/2017,2654.6
10/27/2017,2640.8
10/28/2017,2643.033333
10/29/2017,2645.266667
10/30/2017,2647.5
10/31/2017,2639.9
11/1/2017,2583.1
11/2/2017,2589.3
11/3/2017,2595.5
11/4/2017,2601.7
11/5/2017,2528.3
11/6/2017,2518.55
11/7/2017,2508.8
11/8/2017,2644.4
11/9/2017,2738.2
11/10/2017,2696.6
11/11/2017,2636.7
11/12/2017,2576.8
11/13/2017,2685.8
11/14/2017,2676.7
11/15/2017,2689.5
11/16/2017,2680.6
11/17/2017,2680.4
11/18/2017,2682.033333
11/19/2017,2683.666667
11/20/2017,2685.3
11/21/2017,2670
11/22/2017,2680.2
11/23/2017,2675.5
11/24/2017,2674.4
11/25/2017,2676.3
11/26/2017,2678.2
11/27/2017,2680.1
11/28/2017,2671.1
11/29/2017,2654
11/30/2017,2649.4
12/1/2017,2629.8
12/2/2017,2635.8
12/3/2017,2641.8
12/4/2017,2647.8
12/5/2017,2535.6
12/6/2017,2621.2
12/7/2017,2519.9
12/8/2017,2623.2
12/9/2017,2726.5
12/10/2017,2694
12/11/2017,2632.9
12/12/2017,2571.8
12/13/2017,2567.9
12/14/2017,2579.7
12/15/2017,2579.6
12/16/2017,2586.233333
12/17/2017,2592.866667
12/18/2017,2599.5
12/19/2017,2591.5
12/20/2017,2597.1
12/21/2017,2599
12/22/2017,2598.7
12/23/2017,2598.7
12/24/2017,2598.7
12/25/2017,2598.7
12/26/2017,2599.5
12/27/2017,2634.6
12/28/2017,2655.5
12/29/2017,2644.8
12/30/2017,2645.033333
12/31/2017,2645.266667
1/1/2018,2645.5
1/2/2018,2754.1
1/3/2018,2739.7
